Date,NVDA,JPM,AMZN,LLY,XOM,^GSPC
2024-12-30,137.13150024414062,231.0775604248047,221.3000030517578,764.4177856445312,100.00963592529297,5906.93994140625
2024-12-31,133.9398651123047,231.4541473388672,219.38999938964844,762.6002807617188,101.72122192382812,5881.6298828125
2025-01-02,137.94935607910156,231.734130859375,220.22000122070312,768.59619140625,101.475341796875,5868.5498046875
2025-01-03,144.09332275390625,234.90118408203125,224.19000244140625,772.4585571289062,101.99544525146484,5942.47021484375
2025-01-06,149.04039001464844,233.75595092773438,227.61000061035156,755.7841796875,101.8819580078125,5975.3798828125
2025-01-07,139.77459716796875,236.0076141357422,222.11000061035156,763.8744506835938,102.8370361328125,5909.02978515625
2025-01-08,139.7446746826172,235.9687957763672,222.1300048828125,777.6348266601562,101.11601257324219,5918.25
2025-01-10,135.55564880371094,232.80479431152344,218.94000244140625,790.160400390625,100.7472152709961,5827.0400390625
2025-01-13,132.8826141357422,237.01698303222656,218.4600067138672,787.7698974609375,103.34768676757812,5836.22021484375
2025-01-14,131.41644287109375,240.1809539794922,217.75999450683594,735.8399658203125,103.75431060791016,5842.91015625
2025-01-15,135.88479614257812,244.91720581054688,223.35000610351562,737.6476440429688,105.44699096679688,5949.91015625
2025-01-16,133.22174072265625,246.78067016601562,220.66000366210938,748.3754272460938,105.26732635498047,5937.33984375
2025-01-17,137.3509521484375,251.5266571044922,225.94000244140625,716.8836669921875,106.21294403076172,5996.66015625
2025-01-21,140.4628143310547,255.2826385498047,230.7100067138672,733.3111572265625,105.40914916992188,6049.240234375
2025-01-22,146.68655395507812,255.09825134277344,235.00999450683594,744.799560546875,103.57464599609375,6086.3701171875
2025-01-23,146.83615112304688,258.11663818359375,235.4199981689453,757.265869140625,104.16093444824219,6118.7099609375
2025-01-24,142.24815368652344,257.03936767578125,234.85000610351562,775.8468017578125,102.75194549560547,6101.240234375
2025-01-27,118.11123657226562,258.01959228515625,235.4199981689453,798.3297729492188,104.17984771728516,6012.27978515625
2025-01-28,128.6536865234375,259.2716064453125,238.14999389648438,795.1884155273438,102.1656494140625,6067.7001953125
2025-01-29,123.3774642944336,258.7280578613281,237.07000732421875,794.2896118164062,102.76140594482422,6039.31005859375
2025-01-30,124.32499694824219,260.3294372558594,234.63999938964844,813.2064819335938,103.61246490478516,6071.169921875
2025-01-31,119.7569351196289,259.4269104003906,237.67999267578125,801.204345703125,101.02145385742188,6040.52978515625
2025-02-03,116.3558349609375,258.9512634277344,237.4199981689453,800.5621948242188,101.26730346679688,5994.56982421875
2025-02-04,118.34063720703125,260.04803466796875,242.05999755859375,816.0117797851562,103.98125457763672,6037.8798828125
2025-02-05,124.50453186035156,262.46466064453125,236.1699981689453,831.9255981445312,103.90560913085938,6061.47998046875
2025-02-06,128.344482421875,268.7441101074219,238.8300018310547,859.7723388671875,102.53445434570312,6083.56982421875
2025-02-07,129.50143432617188,267.676513671875,229.14999389648438,867.61572265625,102.96943664550781,6025.990234375
2025-02-10,133.22174072265625,263.0567321777344,233.13999938964844,858.3005981445312,104.93634796142578,6066.43994140625
2025-02-11,132.45376586914062,266.89031982421875,232.75999450683594,854.4677734375,105.5982894897461,6068.5
